Date,SP500,SP500_%Change
1996/3/14,640.87,0.363323154
1996/3/15,641.43,0.087381216
1996/3/18,652.65,1.749216594
1996/3/19,651.69,-0.147092622
1996/3/20,649.98,-0.262394697
1996/3/21,649.19,-0.121542201
1996/3/22,650.62,0.220274496
1996/3/25,650.04,-0.089145738
1996/3/26,652.97,0.450741493
1996/3/27,648.91,-0.621774354
1996/3/28,648.94,0.004623137
1996/3/29,645.5,-0.530095232
1996/4/1,653.73,1.274980635
1996/4/2,655.26,0.234041577
1996/4/3,655.88,0.09461893
1996/4/4,655.86,-0.003049338
1996/4/8,644.24,-1.771719574
1996/4/9,642.19,-0.318204396
1996/4/10,633.5,-1.35318208
1996/4/11,631.18,-0.366219416
1996/4/12,636.71,0.87613676
1996/4/15,642.49,0.907791616
1996/4/16,645,0.390667559
1996/4/17,641.61,-0.525581395
1996/4/18,643.61,0.31171584
1996/4/19,645.07,0.22684545
1996/4/22,647.89,0.437161858
1996/4/23,651.58,0.569541126
1996/4/24,650.17,-0.216397066
1996/4/25,652.87,0.415276005
1996/4/26,653.46,0.090370212
1996/4/29,654.16,0.107122089
1996/4/30,654.17,0.001528678
1996/5/1,654.58,0.06267484
1996/5/2,643.38,-1.711020807
1996/5/3,641.63,-0.272000995
1996/5/6,640.81,-0.127799511
1996/5/7,638.26,-0.397933865
1996/5/8,644.77,1.019960518
1996/5/9,645.44,0.103913023
1996/5/10,652.09,1.030304908
1996/5/13,661.51,1.44458587
1996/5/14,665.6,0.618282414
1996/5/15,665.42,-0.027043269
1996/5/16,664.85,-0.085660185
1996/5/17,668.91,0.61066406
1996/5/20,673.15,0.633867037
1996/5/21,672.76,-0.057936567
1996/5/22,678.42,0.841310423
1996/5/23,676,-0.356711182
1996/5/24,678.51,0.371301775
1996/5/28,672.23,-0.925557472
1996/5/29,667.93,-0.63966202
1996/5/30,671.7,0.564430404
1996/5/31,669.12,-0.384100045
1996/6/3,667.68,-0.215208034
1996/6/4,672.56,0.730889049
1996/6/5,678.44,0.87427144
1996/6/6,673.03,-0.797417605
1996/6/7,673.31,0.0416029
1996/6/10,672.16,-0.170797998
1996/6/11,670.97,-0.177041181
1996/6/12,669.04,-0.287643263
1996/6/13,667.92,-0.167404042
1996/6/14,665.85,-0.309917355
1996/6/17,665.16,-0.103626943
1996/6/18,662.06,-0.46605328
1996/6/19,661.96,-0.015104371
1996/6/20,662.1,0.021149314
1996/6/21,666.84,0.715903942
1996/6/24,668.85,0.30142163
1996/6/25,668.48,-0.055318831
1996/6/26,664.39,-0.611835807
1996/6/27,668.55,0.626138262
1996/6/28,670.63,0.311121083
1996/7/1,675.88,0.782845981
1996/7/2,673.61,-0.335858436
1996/7/3,672.4,-0.179629162
1996/7/5,657.44,-2.224866151
1996/7/8,652.54,-0.745315162
1996/7/9,654.75,0.338676556
1996/7/10,656.06,0.200076365
1996/7/11,645.67,-1.583696613
1996/7/12,646.19,0.080536497
1996/7/15,629.8,-2.536405701
1996/7/16,628.37,-0.227056208
1996/7/17,634.07,0.907108869
1996/7/18,643.56,1.496680177
1996/7/19,638.73,-0.750512773
1996/7/22,633.77,-0.776540948
1996/7/23,626.87,-1.088723038
1996/7/24,626.65,-0.035094996
1996/7/25,631.17,0.721295779
1996/7/26,635.9,0.749401904
1996/7/29,630.91,-0.784714578
